#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
religion_openly_norse_or_reformed_tooltip;Publicly follows the §Y[norse_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[norse_pagan_reformed.GetName]§!;Befolgt öffentlich die §Y[norse_pagan_reformed.GetName]e§! Religion;;Sigue públicamente el credo §Y[norse_pagan_reformed.GetName]§!.;Segue pubblicamente la religione §Y[norse_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_baltic_or_reformed_tooltip;Publicly follows the §Y[baltic_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[baltic_pagan_reformed.GetName]§!;Befolgt öffentlich die §Y[baltic_pagan_reformed.GetName]e§! Religion;;Sigue públicamente el credo §Y[baltic_pagan_reformed.GetName]§!.;Segue pubblicamente la religione §Y[baltic_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_finnish_or_reformed_tooltip;Publicly follows the §Y[finnish_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[finnish_pagan_reformed.GetName]§!;Befolgt öffentlich die §Ysuomenuskische§! Religion;;Sigue públicamente el credo §Ysuomenusco§!.;Segue pubblicamente la religione §Y[finnish_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_slavic_or_reformed_tooltip;Publicly follows the §Y[slavic_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[slavic_pagan_reformed.GetName]§!;Befolgt öffentlich die §Yslawische§! Religion;;Sigue públicamente el credo §Yeslavo§!.;Segue pubblicamente la religione §Y[slavic_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_tengri_or_reformed_tooltip;Publicly follows the §Y[tengri_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[tengri_pagan_reformed.GetName]§!;Befolgt öffentlich die §Ytengrische§! Religion;;Sigue públicamente el credo §Ytengrista§!.;Segue pubblicamente la religione §Y[tengri_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_west_african_or_reformed_tooltip;Publicly follows the §Y[west_african_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[west_african_pagan_reformed.GetName]§!;Befolgt öffentlich die §Ywestafrikanische§! Religion;;Sigue públicamente el credo §Yafricano occidental§!.;Segue pubblicamente la religione §Y[west_african_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_zun_or_reformed_tooltip;Publicly follows the §Y[zun_pagan_reformed.GetName]§! religion;Suit publiquement la religion §Y[zun_pagan_reformed.GetName]§!;Befolgt öffentlich die §Yzunistische§! Religion;;Sigue públicamente el credo §Yzunista§!.;Segue pubblicamente la religione §Y[zun_pagan_reformed.GetName]§!;;;;;;;;x
religion_openly_aztec_or_reformed_tooltip;Publicly follows the §Y[aztec_reformed.GetName]§! religion;Suit publiquement la religion §Y[aztec_reformed.GetName]§!;Befolgt öffentlich die §Yaztekische§! Religion;;Sigue públicamente el credo §Yazteca§!.;Segue pubblicamente la religione §Y[aztec_reformed.GetName]§!;;;;;;;;x
FOLLOWS_SECRET_RELIGION_TOOLTIP;This character practices the $RELIGION|Y$ religion in secret;Ce personnage pratique la religion $RELIGION|Y$ en secret;Diese Person übt heimlich die $RELIGION|Y$§Ye§! Religion aus;;Este personaje profesa el credo $RELIGION|Y$ en secreto.;Questo personaggio pratica in segreto la religione $RELIGION|Y$;;;;;;;;x
CAN_SEE_SECRET_RELIGION;Knows that $WHO|Y$ secretly practices a religion;Sait que $WHO|Y$ pratique secrètement une religion;Weiß, dass $WHO|Y$ heimlich eine Religion ausübt;;Sabe que $WHO|Y$ practica una religión en secreto.;Sa che $WHO|Y$ pratica in segreto una religione;;;;;;;;x
CANNOT_SEE_SECRET_RELIGION;Does not know if $WHO|Y$ secretly practices a religion;Ne sait pas si $WHO|Y$ pratique secrètement une religion;Weiß nicht, ob $WHO|Y$ heimlich eine Religion ausübt;;No sabe si $WHO|Y$ practica una religión en secreto.;Non sa se $WHO|Y$ pratica in segreto una religione;;;;;;;;x
FILTER_HAS_SECRET_RELIGION;Has Secret Religion;A une religion secrète;Hat eine heimliche Religion;;Tiene una religión secreta;Ha una Religione Segreta;;;;;;;;x
alert_society_rank_up_possible_instant;§YPossible to rank up in society§!;§YMontée en grade possible dans la société§!;§YMöglich, im Zirkel aufzusteigen§!;;§YPosibilidad de subir de rango en la sociedad§!;§YPossiblità di avanzare di grado nella Società§!;;;;;;;;x
alert_society_rank_up_possible_delayed;You have gained enough influence within your society that you can request promotion to the next rank.;Vous avez gagné assez d'influence au sein de votre société pour pouvoir demander de monter en grade.;Ihr habt innerhalb Eures Zirkels genug Einfluss gewonnen, um eine Beförderung auf den nächsten Rang verlangen zu können.;;Has ganado la influencia suficiente dentro de tu sociedad como para solicitar un ascenso al siguiente rango.;Hai guadagnato abbastanza influenza all'interno della tua società da poter richiedere la promozione al rango successivo.;;;;;;;;x
ALLY_ORDER_BUSY_OTHER_CAMPAIGN;This character cannot currently assist you as they are busy with $WAR|Y$;Ce personnage ne peut actuellement vous aider car il est occupé dans la $WAR|Y$;Diese Person kann Euch momentan nicht unterstützen, da sie mit $WAR|Y$ beschäftigt ist;;Este personaje no puede ayudarte en este momento porque está ocupado con $WAR|Y$.;Questo personaggio non può attualmente assistervi poiché è impegnato nella $WAR|Y$;;;;;;;;x
opinion_abducted;Abducted;Enlèvement;Entführt;;Secuestrado;Sequestrato;;;;;;;;x
known_satanist;Known Demon Worshiper;Adoration du démon révélée;Bekannter Dämonenanbeter;;Conocido adorador del demonio;Adoratore del Demone Scoperto;;;;;;;;x
known_satanist_desc;This character has been revealed as a worshiper of demons.;Ce personnage a été révélé comme un adorateur de démons.;Diese Person wurde als Anbeter von Dämonen erkannt.;;Se ha sabido que este personaje es adorador de demonios.;Questo personaggio si è rivelato essere un adoratore di demoni.;;;;;;;;x
EVTTITLE_MNM_7855;[GetDemonHuntersEventTitle];[GetDemonHuntersEventTitle];[GetDemonHuntersEventTitle];;[GetDemonHuntersEventTitle];[GetDemonHuntersEventTitle];;;;;;;;x
EVTTITLE_MNM_7855_A;The Demon Slayer;Le tueur de démon;Der Dämonenschlächter;;La Matademonios;L'Uccisore di Demoni;;;;;;;;x
EVTTITLE_MNM_7855_A_again;The Return of the Slayer;Le retour du tueur;Die Rückkehr des Schlächters;;El regreso de la Matademonios;Il ritorno dell'Uccisore di Demoni;;;;;;;;x
EVTDESC_MNM_7855_A;Night has fallen as I contemplate my latest ritual – there has to be more efficient ways of washing blood off one's clothes...?\n'You must be the [Root.GetDWDemon]', a voice sounds behind me. I spin, only to find a sinister young woman, casually raising a wooden stake. Then she shrugs. 'I can't let evil like you just walk around'.;La nuit est tombée et je contemple mon dernier rituel - il doit y avoir des moyens plus efficaces d'enlever le sang de ses vêtements...\n« Vous devez être le [Root.GetDWDemon] », dit une voix derrière moi. Je me retourne, et aperçois une jeune femme sinistre, brandissant un pieu en bois. « Je ne peux pas laisser le mal rôder », dit-elle en haussant les épaules.;"Die Nacht ist hereingebrochen, als ich über mein letztes Ritual nachdenke. Es müsste doch wirkungsvollere Methoden geben, um Blut von den Kleidern abzuwaschen ... ""Ihr müsst der [Root.GetDWDemon] sein"", sagt eine Stimme hinter mir. Als ich mich umdrehe, steht eine finstere junge Frau vor mir, die wie zufällig einen hölzernen Pfahl in die Höhe hält. Danach zuckt sie mit den Schultern. ""Ich kann nicht zulassen, dass so etwas Böses wie Ihr frei herumläuft.""";;Ha caído la noche mientras contemplaba mi ritual más reciente. Tiene que haber maneras más eficaces de limpiarse las ropas de sangre.\n«Debes de ser un/a [Root.GetDWDemon]», dice una voz detrás de mí. Me doy la vuelta y hallo a una joven siniestra que alza despreocupada una estaca de madera. Entonces, se encoge de hombros. «No puedo permitir que una maldad como la tuya se pasee por ahí sin más».;È calata La notte mentre contemplo il mio ultimo rituale - Devono esserci modi più efficaci per lavare via il sangue dai vestiti...\n'Devi essere il [Root.GetDWDemon]', dice una voce dietro di me. Mi volto, solo per vedere una giovane donna minacciosa, che solleva con noncuranza un paletto di legno. Poi scrolla le spalle. 'Non posso lasciare che il male giri ancora qui attorno'.;;;;;;;;x
EVTDESC_MNM_7855_A_again;As I retire to my quarters for the night, I am startled by a shadow, suddenly moving. 'It's been a while', a bright voice muses as a woman steps into the light, weapon raised. 'How did you get into my [Root.GetCapitalHolding]?', I demand to know, but my voice betrays my brave act. 'Your guards are sleeping, my [Root.GetLordLady]... Let's finish this'.;Alors que je me retire dans mes quartiers pour la nuit, je suis effrayé[Root.Get_E] par une soudaine ombre mouvante. « Ça faisait un moment », dit une voix d'un air songeur alors qu'une femme marche dans la lumière, brandissant une arme. « Comment êtes-vous entrée dans [Root.GetCapitalHolding] ? », demandé-je, mais ma voix trahit mon acte courageux. « Vos gardes dorment, M[Root.GetOnA][Root.GetLordLady]... Finissons-en.;"Als ich mich zur Nachtruhe in meine Gemächer zurückziehe, weiche ich erschrocken vor einem Schatten zurück, der sich plötzlich zu bewegen beginnt. ""Es ist lange her"", sagt eine helle Stimme, als eine Frau mit erhobener Waffe ins Licht tritt. ""Wie seid Ihr in meine [Root.GetCapitalHolding] gekommen?"", verlange ich Auskunft, doch meine Stimme verrät, dass mein Mut nur vorgetäuscht ist. ""Eure Wachen schlafen, m[Root.Geteineine] [Root.GetLordLady] ... Führen wir dies zu Ende.""";;Cuando me retiro a mis aposentos esa noche me sorprende una sobra que se mueve de repente. «Ha pasado mucho tiempo», dice la voz animada de una mujer que se muestra bajo la luz con el arma alzada. «¿Cómo has entrado en mi [Root.GetCapitalHolding]?», exijo saber, pero mi voz traiciona mi valor fingido. «Tus guardias duermen, mi [Root.GetLordLady]... Acabemos con esto».;Mentre mi ritiro nei miei quartieri per la notte, sono sorpreso da un'ombra, che si muove improvvisamente. 'È passato un po' di tempo' rimugina una voce squillante mentre una donna avanza verso la luce, arma in mano. 'Come sei entrata nel mio [Root.GetCapitalHolding]?',chiedo per sapere, ma la mia voce tradisce il mio atto coraggioso. 'Le tue guardie stanno dormendo, mio [Root.GetLordLady]... Facciamola finita'.;;;;;;;;x
EVTTITLE_MNM_7855_B;The Angry Villagers;Les villageois en colère;Die wütenden Dorfbewohner;;Los aldeanos enfurecidos;I Paesani Arrabbiati;;;;;;;;x
EVTTITLE_MNM_7855_B_again;The Angry Villagers Return;Le retour des villageois en colère;Die Rückkehr der wütenden Dorfbewohner;;El regreso de los aldeanos enfurecidos;Il Ritorno dei Paesani Arrabbiati;;;;;;;;x
EVTDESC_MNM_7855_B;After having snuck out for a late walk with my pet familiar, I make my way back through the gates of [Root.Capital.Capital.GetName]. Suddenly, shadows surround me and I'm shoved into a wall. A group of angry villagers, their expressions dark in the light of their torches, has gathered around me. Someone yells: 'burn [Root.GetHerHim]!';Après être sorti furtivement pour une promenade tardive avec mon animal familier, je suis sur le chemin du retour, aux portes de [Root.Capital.Capital.GetName]. Soudain, des ombres m'entourent et je suis acculé[Root.Get_E] devant un mur. Un groupe de villageois en colère, leurs sombres expressions apparaissant à la lumière de leurs torches, s'est réuni autour de moi. Quelqu'un crie: « Brûlons-[Root.GetLeLa] ! »;"Ich schleiche mich zu einem späten Spaziergang mit meinem Haustiervertrauten hinaus und kehre durch die Tore von [Root.Capital.Capital.GetName] wieder zurück. Plötzlich werde ich von Schatten umringt und an eine Wand gedrückt. Eine Schar wütender Dorfbewohner, deren Gesichter im Licht ihrer Fackeln nichts Gutes verraten, hat sich um mich versammelt. Jemand ruft: ""Verbrennt [Root.GetHerHim]!""";;Tras escabullirme con mi mascota espectral para un paseo nocturno, atravieso las puertas de [Root.Capital.Capital.GetName]. De repente, me rodean unas sombras y algo me empuja contra una pared. Un grupo de aldeanos enfurecidos, de oscuro gesto a la luz de sus antorchas, se ha reunido a mi alrededor. Alguien grita: «¡Que arda!».;Dopo aver sgattaiolato fuori per una passeggiata notturna con il mio animale di compagnia, faccio ritorno attraverso le porte di [Root.Capital.Capital.GetName]. Improvvisamente delle ombre mi circondano e sono spinto contro un muro. Un gruppo di paesani arrabbiati, con lo sguardo torvo alla luce delle loro torce, si è radunato intorno a me. Qualcuno grida: 'bruciamo [Root.GetHerHim]!';;;;;;;;x
EVTDESC_MNM_7855_B_again;I am moving quietly through the gates into the [Root.GetCapitalHolding] tonight, grateful for my disguise. Specific rituals sometimes require me to blend in amongst the common folk. It's become almost second nature – my [GetDWPartyClothes] would be quite the giveaway!\n'There [Root.GetSheHe] is!' someone yells. 'BURN [Root.GetHerHim]!';Je passe tranquillement les portes [Root.GetCapitalHoldingDuDela] ce soir, reconnaissant[Root.Get_E] pour mon déguisement. Des rituels spécifiques m'obligent parfois à devoir me fondre dans la masse. C'est presque devenu une seconde nature - je pourrais cependant me faire repérer avec [GetDWPartyClothes] !\n« [Root.GetIlElleCap] est là ! », crie quelqu'un. « Brûlons-[Root.GetLeLa] ! »;"Ich schleiche heute Nacht leise durch die Tore in die [Root.GetCapitalHolding] und bin für meine Verkleidung dankbar. Bestimmte Rituale erfordern zuweilen, dass ich mich unter das gemeine Volk mische. Dies ist mir fast zu einer zweiten Natur geworden – meine [GetDWPartyClothes] hätten mich gewiss sofort verraten!\n""Da ist [Root.GetSheHe]!"", ruft jemand. ""VERBRENNT [Root.GetHerHim]!""";;Esta noche atravieso en silencio las puertas al amparo de mi disfraz. Hay rituales concretos que a veces exigen que me mezcle entre las gentes de a pie. Ya es casi una costumbre para mí mi [GetDWPartyClothes] levantaría todas las sospechas.\n«¡Ahí está!», grita alguien. «¡QUE ARDA!».;Sto attraversando senza problemi attraverso le porte di [Root.GetCapitalHolding] stasera, grato per il mio travestimento. Dei rituali particolari mi obbligano qualche volta a confondermi con la massa. È diventato quasi un'abitudine - il mio [GetDWPartyClothes] ne è praticamente la dimostrazione!\n'[Root.GetSheHe] è qui!' Urla qualcuno. 'BRUCIAMO [Root.GetHerHim]!';;;;;;;;x
EVTTITLE_MNM_7855_C;The Demon Hunters;Les chasseurs de démons;Die Dämonenjäger;;Los cazadores de demonios;I Cacciatori di Demoni;;;;;;;;x
EVTTITLE_MNM_7855_C_again;The Return of the Demon Hunters;Le retour des chasseurs de démons;Die Rückkehr der Dämonenjäger;;El regreso de los cazadores de demonios;Il Ritorno dei Cacciatori di Demoni;;;;;;;;x
EVTDESC_MNM_7855_C;Having just performed a ritual requiring the full moon, it's past midnight when I sneak back into my quarters. Satisfied, I begin washing the blood off my hands. Behind me, someone clears their throat. 'Not so fast, you evil [Root.GetDWDemon]'. I feel the tip of a sword in my back. Another voice mutters: 'Just kill it, brother'.;Après avoir accompli un rituel nécessitant la pleine lune, il est minuit passé quand je rejoins mes quartiers. Satisfait[Root.Get_E], je commence à enlever le sang de mes mains. Derrière moi, quelqu'un s'éclaircit la gorge. « Pas si vite, néfaste [Root.GetDWDemon] ». Je sens le bout d'une épée dans mon dos. Une autre voix murmure: « Tuez-le, mon frère ».;"Ich habe gerade ein Ritual durchgeführt, das den Vollmond erfordert. Es ist bereits nach Mitternacht, als ich wieder zurück zu meinen Gemächern schleiche. Zufrieden wasche ich das Blut von meinen Händen, als sich jemand Hinter mir räuspert. ""Nicht so schnell, du abscheulicher [Root.GetDWDemon]."" Ich spüre die Spitze eines Schwertes in meinem Rücken. Eine andere Stimme murmelt: ""Töte das Ungeheuer einfach, Bruder.""";;Tras realizar un ritual que requería que hubiera luna llena, y pasada la medianoche, regreso con sigilo a mis aposentos. Con satisfacción, empiezo a lavarme la sangre de las manos. Detrás de mí, alguien se aclara la garganta. «No tan deprisa, [Root.GetDWDemon] del mal». Noto la punta de una espada en la espalda. Otra voz susurra: «Mátalo de una vez, hermano».;Dopo aver eseguito un rituale che richiede la luna piena, è mezzanotte passata quando faccio ritorno furtivamente nella mia stanza. Soddisfatto, comincio a lavare il sangue dalle mie mani. Dietro a me, qualcuno si schiarisce la gola. 'Non è così veloce, malvagio [Root.GetDWDemon]'. Sento la punta di una spada nella mia schiena. Un'altra voce mormora: 'Uccidilo, fratello'.;;;;;;;;x
